period_date,period_type,source_file,bulletin_period,deposit_avg_rate_azn_pct,deposit_legal_rate_azn_pct,deposit_individual_rate_azn_pct,loan_avg_rate_azn_pct,loan_legal_rate_azn_pct,loan_individual_rate_azn_pct,deposit_avg_rate_fx_pct,deposit_legal_rate_fx_pct,deposit_individual_rate_fx_pct,loan_avg_rate_fx_pct,loan_legal_rate_fx_pct,loan_individual_rate_fx_pct,country_name,country_iso
2021-08-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.51073860438545,5.07818949371401,9.08520943447916,14.0442654455398,9.6856194239835,16.2272385676606,1.54335119671726,0.97684654152402,1.97089480949116,5.14013844138753,5.00047884663369,6.01205789015766,Azerbaijan,AZE
2021-09-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.58480796071378,5.31095869291743,9.04444794558452,14.1552901097594,9.78961056677585,16.2720354799679,1.52549808475928,0.963979996222436,1.94975715090276,4.93568847192802,4.78822760157563,5.85384141422131,Azerbaijan,AZE
2021-10-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.54372051149172,5.24232948513094,9.06225794857337,14.2713041324841,9.82647320891488,16.4095335670418,1.57141942546211,1.02461306236918,1.94384990849927,4.97597409544103,4.8463136391413,5.80403466596159,Azerbaijan,AZE
2021-11-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.57969230322088,5.31479525293901,9.08220362895678,14.3321644542655,9.87490276659364,16.4515299466295,1.56316894237486,1.03586646687788,1.92432790299495,5.0534498537415,4.90514325534591,6.07122591402919,Azerbaijan,AZE
2021-12-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.56786857815885,5.300686437329,9.085343258586,14.352115803765,9.89184283858474,16.5086595753802,1.49248390141881,0.996228316563217,1.83131826659695,5.00135406447997,4.83279600818263,6.21143605383576,Azerbaijan,AZE
2022-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.58932327268593,5.31907621153006,9.11507384783989,14.3310402994173,9.9776442080344,16.4373968173062,1.48373358363344,0.989940459309028,1.81441103230566,4.80065560767376,4.71137086242746,5.45390965014198,Azerbaijan,AZE
2022-02-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.62113505316201,5.42516618858731,9.11830480556356,14.3821870280678,10.0476192068531,16.4257591188654,1.47610783128099,0.991338378963831,1.79482213642917,4.79901150341676,4.71385023808713,5.43710682068941,Azerbaijan,AZE
2022-03-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.64868566613348,5.4698052322823,9.1274990307267,14.3058577192643,10.0809905654903,16.3439603410898,1.46601950750403,0.993225514605344,1.7797722608727,4.7807085127099,4.70203410825744,5.37222524367853,Azerbaijan,AZE
2022-04-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.7305520484873,5.65349734447594,9.16777638069184,14.2774216015181,10.1015936761764,16.2916458311815,1.45205197254127,0.970188933604598,1.75348371979388,4.75620163868697,4.68659886153531,5.2313451325033,Azerbaijan,AZE
2022-05-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.72127184122051,5.66225280093737,9.13427409002641,14.2377509306829,10.1071808077813,16.2212146058328,1.42757760993508,0.996519314348148,1.68897881332377,4.75007165341017,4.67694198186906,5.31784283844655,Azerbaijan,AZE
2022-06-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.72006560525786,5.67556455134184,9.13633054157392,14.260917119873,10.1960007140266,16.1728011235503,1.43271436988096,1.02086261782002,1.6767147727208,4.72386682638296,4.65223797461116,5.27639363563707,Azerbaijan,AZE
2022-07-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.65069811919685,5.44545327823587,9.12964430415153,14.3128395174397,10.231128765781,16.2290591746836,1.29918497360382,0.814555824925602,1.65324585171044,4.77143720154246,4.70720001516368,5.30260666961441,Azerbaijan,AZE
2022-08-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.5239701021015,5.05634480979577,9.17316692065194,14.3388014066165,10.215514391532,16.2530286785308,1.30946282709122,0.824177625736931,1.66452657182915,4.75955333861279,4.7068263824737,5.15913739488557,Azerbaijan,AZE
