period_date,period_type,business_loans_total_mn_azn,large_business_loans_mn_azn,medium_business_loans_mn_azn,small_business_loans_mn_azn,micro_business_loans_mn_azn,country_name,country_iso,real_sector_loans_total_mn_azn,real_sector_overdue_loans_mn_azn,real_sector_overdue_share_pct,trade_and_services_loans_mn_azn,mining_utilities_loans_mn_azn,agriculture_loans_mn_azn,construction_loans_mn_azn,industry_manufacturing_loans_mn_azn,transport_communication_loans_mn_azn,households_loans_mn_azn,real_estate_mortgage_loans_mn_azn,other_sectors_loans_mn_azn,npl_total_mn_azn,npl_business_mn_azn,npl_consumer_mn_azn,npl_mortgage_mn_azn,deposit_avg_rate_azn_pct,deposit_legal_rate_azn_pct,deposit_individual_rate_azn_pct,loan_avg_rate_azn_pct,loan_legal_rate_azn_pct,loan_individual_rate_azn_pct,deposit_avg_rate_fx_pct,deposit_legal_rate_fx_pct,deposit_individual_rate_fx_pct,loan_avg_rate_fx_pct,loan_legal_rate_fx_pct,loan_individual_rate_fx_pct,notices_entered_count,searches_count,source_name,load_timestamp
2005-10-01,monthly,,,,,,Azerbaijan,AZE,1311.6,67.4,5.138761817627326,330.175,125.999,91.9,74.635,81.848,123.629,376.9,,6.477199999999926,,,,,8.061421933492893,6.56,10.19,15.660094178342705,14.960336743803863,17.55832537120523,10.220547650525372,7.46,10.62,17.5268407112422,15.82628791593832,21.223970574414952,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2005-11-01,monthly,,,,,,Azerbaijan,AZE,1358.5,68.8,5.06440927493559,343.424,144.505,96.2,76.933,81.798,122.754,382.0,,8.720600000000028,,,,,8.160956487688454,6.648033109297902,10.35720870121054,15.573715104518687,15.078683665722473,17.02503970405281,10.319637957820659,7.731448601835054,10.66439951871635,17.280614826569646,15.645114164613263,20.97911079057186,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2005-12-01,monthly,,,,,,Azerbaijan,AZE,1441.0,68.2,4.732824427480916,361.002,181.357,97.6,82.235,83.346,128.161,389.2,,11.591199999999985,,,,,8.414817839484371,7.05,10.422085563422144,15.624518162033617,14.782822943258052,18.005412112681796,10.178527504086118,6.770929147064026,10.753455432885044,17.438986705997205,15.744984857192614,21.186121510474702,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2006-01-01,annual,,,,,,Azerbaijan,AZE,2362.721,77.655,3.286676674901522,647.19,92.158,136.487,152.531,192.576,214.853,778.0,63.3009,10.40399999999972,,,,,,,,,,,,,,,,,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2006-01-01,monthly,,,,,,Azerbaijan,AZE,1389.036,68.9,4.960274607713551,363.1,117.7,102.0,89.4,85.2,121.4,408.6,,2.5280115599998347,,,,,8.918581315234313,7.406485775261797,10.7,15.144352743166559,14.358888795352891,17.356171419984918,10.187015327247307,6.827348397187522,10.71,17.109675437909097,15.368755212792308,21.30554880278771,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2006-02-01,monthly,,,,,,Azerbaijan,AZE,1352.205,66.679,4.931131004544429,373.595,52.609,103.095,87.283,89.116,116.051,419.262,,3.193645199999719,,,,,8.851610944628595,7.213397291815142,10.74,15.540641253059201,14.583627497138178,18.219189184615253,10.371434055040151,6.794304214793157,10.88,17.473877674577377,15.856708429460477,20.898533558302848,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2006-03-01,monthly,,,,,,Azerbaijan,AZE,1395.11,66.702,4.781128369805965,390.568,46.938,103.007,91.785,96.621,123.296,438.599,,3.567157470000096,,,,,9.488048305274782,8.053456241525215,11.029584083069281,16.033045886478778,14.990661647203023,18.901516662972824,10.717757360098522,8.42410477559583,10.938439396149164,18.16152448296444,16.11741380650526,21.857088071315836,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2006-04-01,monthly,,,,,,Azerbaijan,AZE,1529.2,64.658,4.228223907925713,421.248,77.519,103.303,95.582,106.168,125.52,460.329,,5.433750370000106,,,,,10.506228710036384,8.892202466207143,11.810650391799564,15.74050820202392,14.753087078779707,18.465912303758866,10.992092862441837,8.647979791489973,11.18800192334688,17.923410596244537,15.881153750105765,21.739713816162308,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2006-05-01,monthly,,,,,,Azerbaijan,AZE,1556.833,64.43,4.1385299515105345,446.041,77.28,105.392,98.645,113.885,131.463,481.265,,5.878538710000173,,,,,10.978901970427007,9.955959758179482,11.794225129843484,15.843438145856622,14.770511569533927,19.022665918719085,10.744750484707557,6.977727653226845,11.156915667641059,17.77529163601935,15.802690471919322,21.74172746739119,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2006-06-01,monthly,,,,,,Azerbaijan,AZE,1660.51,63.1,3.8000373379263,466.189,64.932,113.411,106.578,122.743,160.138,519.514,,6.17467064999993,,,,,10.89,9.5,11.88,15.83,14.52,19.24,10.84,7.41,11.2,17.53,15.47,21.64,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2006-07-01,monthly,,,,,,Azerbaijan,AZE,1785.02,63.52,3.5585035461787546,476.775,79.688,118.307,114.641,131.685,175.231,555.272,,8.047754399999732,,,,,10.956563254378409,8.88416198704787,12.285445267172477,15.848713303456487,14.465544119024944,19.52979239733263,11.022342188044044,7.361853435058743,11.345418678018929,17.504595618916124,15.311010153917714,21.7308967413027,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2006-08-01,monthly,,,,,,Azerbaijan,AZE,1876.88,63.53,3.3848727675717143,536.285,71.681,122.856,129.077,141.485,176.128,590.533,,7.931984960000113,,,,,10.857274328192288,8.611385177727067,12.121279826851636,16.045133774254037,14.74296659308003,19.594459491261173,11.148588439466153,7.740503263799892,11.429867077598477,17.457490939544698,15.329563799085761,21.693348245793015,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2006-09-01,monthly,,,,,,Azerbaijan,AZE,2015.15,68.18,3.3833709649405757,567.263,76.591,127.982,137.586,161.184,202.655,622.975,,9.86511934000005,,,,,11.02721339764839,8.987792078930184,12.111721799915449,16.308161770610234,14.888638408100737,19.9525166062943,11.05920263199787,6.725873009416133,11.465307921816963,17.147342819669948,15.053588671866944,21.55685497155304,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2006-10-01,monthly,,,,,,Azerbaijan,AZE,2159.903,78.814,3.6489601616368885,583.896,100.342,133.555,144.436,173.816,200.254,682.531,,10.57199999999995,,,,,10.7167799559739,8.566663850249306,11.96345598334665,16.247945830899106,14.762258523511882,19.918664445107115,11.470580449764423,7.225896526136463,11.821780452865452,17.154112452122174,15.022932249551328,21.671710246132637,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2006-11-01,monthly,,,,,,Azerbaijan,AZE,2242.031,80.217,3.5778720276392257,610.471,91.593,136.771,143.721,181.401,199.586,720.56,,10.53999999999975,,,,,10.460332231923816,8.276632751326392,12.09140819408622,16.30729617772032,14.856727930431928,19.547893316205375,11.296443751155259,6.789622761841817,11.665148380184625,16.825046102604883,14.757189231621728,21.28914671904631,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2006-12-01,monthly,,,,,,Azerbaijan,AZE,2362.721,77.655,3.286676674901522,647.19,92.158,136.487,152.531,192.576,214.853,778.0,63.3009,10.40399999999972,,,,,10.468600119025336,8.216465846451461,12.075913805543339,16.31794494021854,14.747894136255614,19.584366387824222,11.340902771924531,6.742173563071452,11.695936618144469,16.984793797877586,14.872920886460719,21.401173283283384,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2007-01-01,annual,,,,,,Azerbaijan,AZE,4681.77336147,100.26732249,2.1416526334909496,1194.0235844,302.04128283,197.23936623999998,312.34511679,308.04767585999997,469.6348895999999,1657.21590305,171.5556,28.09195221000082,,,,,,,,,,,,,,,,,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2007-01-01,monthly,,,,,,Azerbaijan,AZE,2500.85578428,104.03176047,4.159846446321609,644.63155166,170.92006281,139.78622041,163.9699005,192.60703863999998,220.30830121999998,806.6255509,,10.863397670000355,,,,,10.39,8.4,11.76,16.498405055180786,14.890413977526155,20.103582681719313,11.58,8.5,11.75,17.17299296589952,14.807701386018321,21.818686142101775,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
