period_date,period_type,total_exports_ths_usd,exports_yoy_pct,exports_non_cis_ths_usd,exports_non_cis_yoy_pct,exports_cis_ths_usd,exports_cis_yoy_pct,total_imports_ths_usd,imports_yoy_pct,source_file,bulletin_period,country_name,country_iso
2005-10-01,quarterly,2622784.0,227.2802033298469,2391477.0,241.7108013373816,231307.0,140.5959190123937,1008022.0,98.31080751593126,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2006-01-01,annual,13014633.0,170.14900845369607,12067616.0,179.12099378800858,947017.0,103.85882910320004,5269338.0,121.13818914047059,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2006-04-01,quarterly,3642944.0,165.22239602915906,3419035.0,191.1409134082944,223909.0,53.80849846919894,1457857.0,119.93729412035712,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2006-10-01,quarterly,3957776.0,150.89980722773967,3655521.0,152.85620560013749,302255.0,130.67265582105168,1590324.0,157.76679477233634,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-01-01,annual,21269317.0,163.42617575155595,20087289.0,166.45615007968433,1182028.0,124.8159219950645,6045019.0,114.72065371399596,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-04-01,quarterly,5062744.0,138.9739726990039,4712334.0,137.82643348196203,350410.0,156.49661246309884,1555665.0,106.70902564517644,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-10-01,quarterly,6954728.0,175.72313339612955,6652441.0,181.98338896151876,302287.0,100.01058708706225,1885833.0,118.58168524149796,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2008-01-01,annual,30586343.0,143.80500793702026,28904059.0,143.89228431970088,1682284.0,142.32184009177448,7574679.0,125.30446967991334,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2008-04-01,quarterly,9010345.0,177.97354557133445,8545689.0,181.34726867832373,464656.0,132.60352158899576,2280618.0,146.60084272642246,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2008-10-01,quarterly,4342933.0,62.44576351512238,3904361.0,58.69065204787235,438572.0,145.0846381088171,2078844.0,110.23478749178746,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
