country_name,country_iso,date,year,currency_code,local_price,dollar_price,usd_raw_index,usd_adjusted_index,gdp_dollar,source_name,load_timestamp
Romania,ROU,2025-01-01,2025,RON,16.25,3.4294638428989,-0.40769,-0.29904,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
Russia,RUS,2022-01-01,2022,RUB,135.0,1.74379177834469,-0.65401,-0.57234,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
Saudi Arabia,SAU,2025-01-01,2025,SAR,19.0,5.06558600831823,-0.12511,0.01023,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
Singapore,SGP,2025-01-01,2025,SGD,6.95,5.16959238321928,-0.10715,-0.13777,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
Sweden,SWE,2025-01-01,2025,SEK,62.0,5.66896015726793,-0.0209,0.06626,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
Thailand,THA,2025-01-01,2025,THB,135.0,4.00682644505454,-0.30797,-0.12278,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
Turkey,TUR,2025-01-01,2025,TRY,190.0,5.31613516973161,-0.08184,0.17031,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
Taiwan,TWN,2025-01-01,2025,TWD,78.0,2.3832803715473,-0.58838,-0.57875,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
Ukraine,UKR,2025-01-01,2025,UAH,120.0,2.85714285714286,-0.50654,-0.37054,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
Uruguay,URY,2025-01-01,2025,UYU,299.0,6.91009937601109,0.19345,0.48336,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
United States,USA,2025-01-01,2025,USD,5.79,5.79,0.0,0.0,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
Venezuela,VEN,2025-01-01,2025,VES,252.0,4.45376042303655,-0.23078,,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
Vietnam,VNM,2025-01-01,2025,VND,76000.0,3.03054470053433,-0.47659,-0.32854,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
South Africa,ZAF,2025-01-01,2025,ZAR,51.9,2.7766928999053,-0.52043,-0.39577,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
